n,p,noise_sigma,itr,dim,add_var,sum_var,deflation,method,elapsed_time
100,200,0.1,4,2,0.970600334060639,1.94188786359064,OPD,SCCA,0.044574625
100,200,0.1,4,3,0.98414355945122,2.92603142304186,OPD,SCCA,0.044574625
100,200,0.1,4,4,0.949274558055049,3.87530598109691,OPD,SCCA,0.044574625
100,200,0.1,4,5,0.927641207533916,4.80294718863082,OPD,SCCA,0.044574625
100,200,0.1,4,1,0.949504582247622,0.949504582247622,OPD,GN-SCCA,0.211079166
100,200,0.1,4,2,0.972213930356483,1.9217185126041,OPD,GN-SCCA,0.211079166
100,200,0.1,4,3,0.93722016707042,2.85893867967452,OPD,GN-SCCA,0.211079166
100,200,0.1,4,4,0.974156534370389,3.83309521404491,OPD,GN-SCCA,0.211079166
100,200,0.1,4,5,0.905920407978129,4.73901562202304,OPD,GN-SCCA,0.211079166
100,200,0.1,5,1,0.984243043298418,0.984243043298418,HD,SCCA,0.075423375
100,200,0.1,5,2,0.979046548818564,1.96328959211698,HD,SCCA,0.075423375
100,200,0.1,5,3,0.9770584087858,2.94034800090278,HD,SCCA,0.075423375
100,200,0.1,5,4,0.873498230144873,3.81384623104766,HD,SCCA,0.075423375
100,200,0.1,5,5,0.955535861187637,4.76938209223529,HD,SCCA,0.075423375
100,200,0.1,5,1,0.949919437477788,0.949919437477788,HD,GN-SCCA,0.129672375
100,200,0.1,5,2,0.792206369897921,1.74212580737571,HD,GN-SCCA,0.129672375
100,200,0.1,5,3,0.826509837057386,2.56863564443309,HD,GN-SCCA,0.129672375
100,200,0.1,5,4,0.940354387284219,3.50899003171731,HD,GN-SCCA,0.129672375
100,200,0.1,5,5,0.618548462559489,4.1275384942768,HD,GN-SCCA,0.129672375
100,200,0.1,5,1,0.989890377509505,0.989890377509505,PD,SCCA,0.059679083
100,200,0.1,5,2,0.971895159121301,1.96178553663081,PD,SCCA,0.059679083
100,200,0.1,5,3,0.990084134675039,2.95186967130585,PD,SCCA,0.059679083
100,200,0.1,5,4,0.90470426549252,3.85657393679837,PD,SCCA,0.059679083
100,200,0.1,5,5,0.956120545246702,4.81269448204507,PD,SCCA,0.059679083
100,200,0.1,5,1,0.918637816266811,0.918637816266811,PD,GN-SCCA,0.120334625
100,200,0.1,5,2,0.982710379390837,1.90134819565765,PD,GN-SCCA,0.120334625
100,200,0.1,5,3,0.940419369741076,2.84176756539872,PD,GN-SCCA,0.120334625
100,200,0.1,5,4,0.928260543672579,3.7700281090713,PD,GN-SCCA,0.120334625
100,200,0.1,5,5,0.973477177153772,4.74350528622507,PD,GN-SCCA,0.120334625
100,200,0.1,5,1,0.986600029621635,0.986600029621635,OPD,SCCA,0.090077584
100,200,0.1,5,2,0.974310937158181,1.96091096677982,OPD,SCCA,0.090077584
100,200,0.1,5,3,0.98053596874108,2.9414469355209,OPD,SCCA,0.090077584
100,200,0.1,5,4,0.906462758175522,3.84790969369642,OPD,SCCA,0.090077584
100,200,0.1,5,5,0.961612218851138,4.80952191254756,OPD,SCCA,0.090077584
100,200,0.1,5,1,0.918637816266811,0.918637816266811,OPD,GN-SCCA,0.106506625
100,200,0.1,5,2,0.982710379390837,1.90134819565765,OPD,GN-SCCA,0.106506625
100,200,0.1,5,3,0.94013556310618,2.84148375876383,OPD,GN-SCCA,0.106506625
100,200,0.1,5,4,0.926923394484989,3.76840715324882,OPD,GN-SCCA,0.106506625
100,200,0.1,5,5,0.976523580997796,4.74493073424661,OPD,GN-SCCA,0.106506625
100,200,0.1,6,1,0.895539121986809,0.895539121986809,HD,SCCA,0.18214975
100,200,0.1,6,2,0.95254777341587,1.84808689540268,HD,SCCA,0.18214975
100,200,0.1,6,3,0.948703067117161,2.79678996251984,HD,SCCA,0.18214975
100,200,0.1,6,4,0.966493277066729,3.76328323958657,HD,SCCA,0.18214975
100,200,0.1,6,5,0.795959300956989,4.55924254054356,HD,SCCA,0.18214975
100,200,0.1,6,1,0.926283397958438,0.926283397958438,HD,GN-SCCA,0.142066125
100,200,0.1,6,2,0.928317816173589,1.85460121413203,HD,GN-SCCA,0.142066125
100,200,0.1,6,3,0.859808134834565,2.71440934896659,HD,GN-SCCA,0.142066125
100,200,0.1,6,4,0.878537408423502,3.59294675739009,HD,GN-SCCA,0.142066125
100,200,0.1,6,5,0.801039469475729,4.39398622686582,HD,GN-SCCA,0.142066125
100,200,0.1,6,1,0.98052785012636,0.98052785012636,PD,SCCA,0.18831425
100,200,0.1,6,2,0.887806477864148,1.86833432799051,PD,SCCA,0.18831425
100,200,0.1,6,3,0.966584696588054,2.83491902457856,PD,SCCA,0.18831425
100,200,0.1,6,4,0.91305000725181,3.74796903183037,PD,SCCA,0.18831425
100,200,0.1,6,5,0.926464634408086,4.67443366623846,PD,SCCA,0.18831425
100,200,0.1,6,1,0.942882810530936,0.942882810530936,PD,GN-SCCA,0.399922792
100,200,0.1,6,2,0.922280811931043,1.86516362246198,PD,GN-SCCA,0.399922792
100,200,0.1,6,3,0.897236136830973,2.76239975929295,PD,GN-SCCA,0.399922792
100,200,0.1,6,4,0.960483742134559,3.72288350142751,PD,GN-SCCA,0.399922792
100,200,0.1,6,5,0.934026209272062,4.65690971069957,PD,GN-SCCA,0.399922792
100,200,0.1,6,1,0.887889760349124,0.887889760349124,OPD,SCCA,0.087173458
100,200,0.1,6,2,0.970906778782375,1.8587965391315,OPD,SCCA,0.087173458
100,200,0.1,6,3,0.963505238842136,2.82230177797363,OPD,SCCA,0.087173458
100,200,0.1,6,4,0.956348036315526,3.77864981428916,OPD,SCCA,0.087173458
100,200,0.1,6,5,0.934786525751021,4.71343634004018,OPD,SCCA,0.087173458
100,200,0.1,6,1,0.942882810530936,0.942882810530936,OPD,GN-SCCA,0.105826416
100,200,0.1,6,2,0.922280811931043,1.86516362246198,OPD,GN-SCCA,0.105826416
100,200,0.1,6,3,0.908790270332412,2.77395389279439,OPD,GN-SCCA,0.105826416
100,200,0.1,6,4,0.957969269183596,3.73192316197799,OPD,GN-SCCA,0.105826416
100,200,0.1,6,5,0.920278644434167,4.65220180641215,OPD,GN-SCCA,0.105826416
100,200,0.1,7,1,0.932146948968088,0.932146948968088,HD,SCCA,0.07840125
100,200,0.1,7,2,0.98629609725898,1.91844304622707,HD,SCCA,0.07840125
100,200,0.1,7,3,0.949631490689812,2.86807453691688,HD,SCCA,0.07840125
100,200,0.1,7,4,0.966871294013859,3.83494583093074,HD,SCCA,0.07840125
100,200,0.1,7,5,0.879211791933873,4.71415762286461,HD,SCCA,0.07840125
